run_id,task,condition,model,status
R01,T12,G,claude-fable-5,complete
R02,T05,D,claude-fable-5,complete
R03,T05,C,claude-fable-5,complete
R04,T07,S,claude-fable-5,complete
R05,T08,G,claude-fable-5,complete
R06,T09,S,claude-fable-5,complete
R07,T12,C,claude-fable-5,complete
R08,T06,G,claude-fable-5,complete
R09,T02,C,claude-fable-5,complete
R10,T09,C,claude-fable-5,complete
R11,T11,G,claude-fable-5,complete
R12,T10,G,claude-fable-5,complete
R13,T01,G,claude-fable-5,complete
R14,T07,G,claude-fable-5,complete
R15,T01,S,claude-fable-5,complete
R16,T07,D,claude-fable-5,complete
R17,T06,D,claude-fable-5,complete
R18,T11,C,claude-fable-5,complete
R19,T04,G,claude-fable-5,complete
R20,T01,D,claude-fable-5,complete
R21,T03,G,claude-fable-5,complete
R22,T02,D,claude-fable-5,complete
R23,T07,C,claude-fable-5,complete
R24,T04,D,claude-fable-5,complete
R25,T11,S,claude-fable-5,complete
R26,T10,D,claude-fable-5,complete
R27,T01,C,claude-fable-5,complete
R28,T03,S,claude-fable-5,complete
R29,T02,G,claude-fable-5,complete
R30,T08,D,claude-fable-5,complete
R31,T06,S,claude-fable-5,complete
R32,T03,D,claude-fable-5,complete
R33,T05,G,claude-fable-5,complete
R34,T09,D,claude-fable-5,complete
R35,T08,S,claude-fable-5,complete
R36,T04,S,claude-fable-5,complete
R37,T05,S,claude-fable-5,complete
R38,T04,C,claude-fable-5,complete
R39,T03,C,claude-fable-5,complete
R40,T11,D,claude-fable-5,complete
R41,T02,S,claude-fable-5,complete
R42,T09,G,claude-fable-5,complete
R43,T12,S,claude-fable-5,complete
R44,T06,C,claude-fable-5,complete
R45,T12,D,claude-fable-5,complete
R46,T10,S,claude-fable-5,complete
