run_id,item_id,condition,repeat,native_score,normalized,validity,word_count,parsing_note
P2R001,E02,7S,3,4,40,valid,786,
P2R002,B06,H,1,70,70,valid,977,
P2R003,B04,G,1,5,5,valid,383,
P2R004,E03-v2,G,2,78,78,valid,284,
P2R005,B08,F,3,0,0,valid,844,
P2R006,B04,7S,3,5,5,valid,787,
P2R007,B06,G,1,75,75,valid,291,
P2R008,E08,7S,1,85,85,valid,705,
P2R009,B04,F,2,10,10,valid,664,
P2R010,B06,H,2,70,70,valid,759,
P2R011,E02,H,1,4,40,valid,825,
P2R012,B07,7S,2,33,33,valid,698,
P2R013,E05,7S,3,80,80,valid,813,
P2R014,B01,7S,2,25,25,valid,716,
P2R015,B02,H,2,5,5,valid,928,
P2R016,B08,S,2,0,0,valid,429,
P2R017,E02,7S,1,4,40,valid,641,
P2R018,E03-v2,7S,1,80,80,valid,648,
P2R019,E01,S,1,4,40,valid,511,
P2R020,B03,H,2,85,85,valid,790,
P2R021,B06,G,2,75,75,valid,304,
P2R022,B08,H,3,10,10,valid,566,
P2R023,E07-v2,S,3,40,40,valid,339,
P2R024,B07,S,3,45,45,valid,416,
P2R025,B08,F,2,10,10,valid,667,
P2R026,E01,F,1,3,30,valid,846,
P2R027,B01,7S,1,30,30,valid,772,
P2R028,E07-v2,F,3,50,50,valid,708,
P2R029,E05,F,1,75,75,valid,640,
P2R030,B03,G,3,70,70,valid,374,
P2R031,B05,F,3,20,20,valid,849,
P2R032,E05,H,1,80,80,valid,671,
P2R033,E02,S,1,4,40,valid,411,
P2R034,E01,F,2,3,30,valid,990,
P2R035,E08,7S,3,82,82,valid,646,
P2R036,B04,S,2,5,5,valid,517,
P2R037,B05,H,1,15,15,valid,826,
P2R038,B05,S,3,20,20,valid,444,
P2R039,E04,S,3,2,75,valid,327,
P2R040,B04,H,3,10,10,valid,641,
P2R041,B05,7S,3,20,20,valid,585,
P2R042,B06,7S,3,70,70,valid,638,
P2R043,B03,G,2,70,70,valid,407,
P2R044,E05,G,1,88,88,valid,347,
P2R045,B02,G,1,10,10,valid,308,
P2R046,B04,H,1,5,5,valid,738,
P2R047,E03-v2,S,2,70,70,valid,440,
P2R048,E08,F,1,85,85,valid,672,
P2R049,B07,F,2,35,35,valid,686,
P2R050,E03-v2,H,1,75,75,valid,902,
P2R051,B01,7S,3,30,30,valid,822,
P2R052,E04,H,1,2,75,valid,691,
P2R053,B04,G,3,10,10,valid,328,
P2R054,E06,7S,2,30,30,valid,659,
P2R055,E04,7S,3,2,75,valid,631,
P2R056,B06,S,2,80,80,valid,539,
P2R057,E07-v2,G,1,40,40,valid,154,
P2R058,E04,7S,2,2,75,valid,726,
P2R059,E08,F,2,87,87,valid,644,
P2R060,E07-v2,7S,3,50,50,valid,686,
P2R061,B05,G,3,15,15,valid,340,
P2R062,E08,7S,2,88,88,valid,731,
P2R063,E02,S,3,4,40,valid,430,
P2R064,E04,G,1,2,75,valid,235,
P2R065,E01,7S,1,3,30,valid,931,
P2R066,B03,S,1,70,70,valid,545,
P2R067,B03,S,3,75,75,valid,438,
P2R068,B02,F,3,5,5,valid,962,
P2R069,E02,H,3,3,30,valid,696,
P2R070,B03,F,2,75,75,valid,680,
P2R071,E08,F,3,85,85,valid,859,
P2R072,B02,S,1,10,10,valid,470,
P2R073,B07,G,2,60,60,valid,292,
P2R074,B04,7S,1,10,10,valid,745,
P2R075,B02,7S,3,5,5,valid,642,
P2R076,E05,F,2,80,80,valid,1042,
P2R077,B08,F,1,10,10,valid,708,
P2R078,E06,F,2,35,35,valid,1079,
P2R079,E02,F,2,4,40,valid,868,
P2R080,B01,S,2,25,25,valid,459,
P2R081,E05,G,3,88,88,valid,404,
P2R082,E04,S,1,2,75,valid,324,
P2R083,E08,G,2,85,85,valid,261,
P2R084,B06,F,2,60,60,valid,643,
P2R085,B03,H,1,80,80,valid,741,
P2R086,E06,G,1,25,25,valid,242,
P2R087,E03-v2,S,1,88,88,valid,425,
P2R088,B08,G,1,0,0,valid,327,
P2R089,B01,H,2,20,20,valid,727,
P2R090,B06,S,3,75,75,valid,437,
P2R091,E04,F,1,2,75,valid,670,
P2R092,E03-v2,H,3,70,70,valid,585,
P2R093,B07,7S,3,35,35,valid,767,
P2R094,E01,S,2,3,30,valid,443,
P2R095,E06,G,2,30,30,valid,283,
P2R096,B06,F,3,65,65,valid,590,
P2R097,B08,G,3,0,0,valid,254,
P2R098,E06,H,1,30,30,valid,946,
P2R099,E01,H,2,3,30,valid,768,
P2R100,B04,G,2,5,5,valid,405,
P2R101,E08,H,1,85,85,valid,798,
P2R102,E05,F,3,74,74,valid,603,
P2R103,E06,F,3,30,30,valid,731,
P2R104,E07-v2,S,1,40,40,valid,345,
P2R105,B02,7S,2,5,5,valid,541,
P2R106,E06,7S,1,30,30,valid,591,
P2R107,E07-v2,7S,2,50,50,valid,662,
P2R108,B07,G,3,35,35,valid,284,
P2R109,B06,G,3,70,70,valid,258,
P2R110,E07-v2,H,2,50,50,valid,604,
P2R111,B06,S,1,70,70,valid,499,
P2R112,B05,7S,2,15,15,valid,556,
P2R113,B02,F,1,5,5,valid,833,
P2R114,B01,F,1,15,15,valid,940,
P2R115,B07,S,2,40,40,valid,373,
P2R116,E01,F,3,3,30,valid,999,
P2R117,E07-v2,H,3,50,50,valid,507,
P2R118,B04,F,1,10,10,valid,910,
P2R119,E03-v2,F,2,75,75,valid,587,
P2R120,B07,H,2,35,35,valid,676,
P2R121,B07,F,1,30,30,valid,731,
P2R122,E08,S,3,88,88,valid,376,
P2R123,E05,S,1,80,80,valid,476,
P2R124,E03-v2,S,3,75,75,valid,500,
P2R125,E01,G,1,3,30,valid,318,
P2R126,E05,G,2,88,88,valid,401,
P2R127,B08,7S,3,10,10,valid,783,
P2R128,E07-v2,H,1,50,50,valid,638,
P2R129,E04,F,3,2,75,valid,503,
P2R130,B05,F,1,15,15,valid,682,
P2R131,E01,H,3,3,30,valid,928,
P2R132,E03-v2,F,1,75,75,valid,937,
P2R133,B08,G,2,0,0,valid,265,
P2R134,B07,G,1,55,55,valid,349,
P2R135,B05,F,2,10,10,valid,683,
P2R136,B05,H,2,15,15,valid,675,
P2R137,E04,H,3,2,75,valid,636,
P2R138,E03-v2,G,1,75,75,valid,280,
P2R139,B03,S,2,70,70,valid,451,
P2R140,E04,G,3,2,75,valid,286,
P2R141,B05,S,1,15,15,valid,444,
P2R142,E08,H,3,88,88,valid,964,
P2R143,E02,G,2,3,30,valid,301,
P2R144,E06,S,1,30,30,valid,441,
P2R145,E05,H,2,82,82,valid,879,
P2R146,E01,G,2,3,30,valid,332,
P2R147,E05,7S,2,80,80,valid,758,
P2R148,B06,7S,2,70,70,valid,810,
P2R149,B04,S,1,10,10,valid,489,
P2R150,E07-v2,G,2,40,40,valid,212,
P2R151,E02,7S,2,3,30,valid,774,
P2R152,E02,G,3,3,30,valid,338,
P2R153,E01,G,3,3,30,valid,357,
P2R154,B01,F,2,20,20,valid,658,
P2R155,E05,H,3,78,78,valid,854,
P2R156,B02,S,2,10,10,valid,514,
P2R157,B05,G,1,15,15,valid,321,
P2R158,B01,G,2,25,25,valid,349,
P2R159,B01,F,3,25,25,valid,614,
P2R160,B05,G,2,15,15,valid,363,
P2R161,E06,S,2,35,35,valid,420,
P2R162,B08,S,1,0,0,valid,329,
P2R163,B03,F,1,70,70,valid,844,
P2R164,B08,H,1,0,0,valid,652,
P2R165,E06,S,3,30,30,valid,467,
P2R166,B03,G,1,70,70,valid,338,
P2R167,E06,G,3,30,30,valid,334,
P2R168,B01,S,1,25,25,valid,528,
P2R169,E02,F,3,4,40,valid,1087,
P2R170,E01,7S,3,3,30,valid,895,
P2R171,B07,F,3,33,33,valid,793,
P2R172,B04,7S,2,5,5,valid,857,
P2R173,E04,F,2,2,75,valid,581,
P2R174,B03,H,3,70,70,valid,766,
P2R175,E06,F,1,35,35,valid,810,
P2R176,B06,7S,1,65,65,valid,661,
P2R177,E07-v2,S,2,40,40,valid,299,
P2R178,B02,7S,1,5,5,valid,794,
P2R179,E08,S,2,85,85,valid,401,
P2R180,E03-v2,7S,3,78,78,valid,660,
P2R181,B01,H,1,25,25,valid,860,
P2R182,B01,S,3,20,20,valid,459,
P2R183,B07,7S,1,40,40,valid,606,
P2R184,B03,7S,2,70,70,valid,814,
P2R185,E06,7S,3,30,30,valid,794,
P2R186,B02,S,3,10,10,valid,370,
P2R187,E03-v2,G,3,80,80,valid,262,
P2R188,E05,S,2,80,80,valid,514,
P2R189,B02,F,2,5,5,valid,850,
P2R190,E05,7S,1,78,78,valid,948,
P2R191,E06,H,2,30,30,valid,923,
P2R192,B08,7S,2,5,5,valid,637,
P2R193,B06,F,1,70,70,valid,719,
P2R194,B08,H,2,10,10,valid,718,
P2R195,B03,7S,1,70,70,valid,671,
P2R196,E04,7S,1,2,75,valid,767,
P2R197,B07,H,1,33,33,valid,818,
P2R198,E04,H,2,2,75,valid,641,
P2R199,B03,F,3,70,70,valid,963,
P2R200,E07-v2,F,1,50,50,valid,502,
P2R201,E01,S,3,4,40,valid,416,
P2R202,E03-v2,H,2,75,75,valid,819,
P2R203,E08,G,1,82,82,valid,395,
P2R204,B05,7S,1,25,25,valid,747,
P2R205,B06,H,3,65,65,valid,812,
P2R206,B08,7S,1,10,10,valid,551,
P2R207,E03-v2,F,3,70,70,valid,755,
P2R208,B01,G,1,25,25,valid,373,
P2R209,B03,7S,3,70,70,valid,734,
P2R210,E07-v2,F,2,50,50,valid,626,
P2R211,B02,G,2,5,5,valid,324,
P2R212,B07,H,3,35,35,valid,906,
P2R213,B02,H,3,5,5,valid,969,
P2R214,B01,G,3,20,20,valid,407,
P2R215,E05,S,3,80,80,valid,555,
P2R216,E02,G,1,3,30,valid,277,
P2R217,B02,G,3,5,5,valid,340,
P2R218,B07,S,1,45,45,valid,501,
P2R219,B05,H,3,25,25,valid,1051,
P2R220,E08,H,2,88,88,valid,827,
P2R221,E01,H,1,3,30,valid,843,
P2R222,E04,S,2,2,75,valid,437,
P2R223,B04,F,3,5,5,valid,807,
P2R224,E08,G,3,90,90,valid,262,
P2R225,E02,F,1,6,60,valid,624,
P2R226,B08,S,3,0,0,valid,358,
P2R227,B04,H,2,5,5,valid,758,
P2R228,E01,7S,2,3,30,valid,747,
P2R229,B02,H,1,5,5,valid,911,
P2R230,B04,S,3,5,5,valid,503,
P2R231,E06,H,3,30,30,valid,1045,
P2R232,E08,S,1,85,85,valid,419,
P2R233,B05,S,2,10,10,valid,476,
P2R234,E07-v2,7S,1,50,50,valid,685,
P2R235,E03-v2,7S,2,80,80,valid,701,
P2R236,E02,H,2,3,30,valid,744,
P2R237,E02,S,2,4,40,valid,520,
P2R238,E07-v2,G,3,40,40,valid,210,
P2R239,E04,G,2,2,75,valid,291,
P2R240,B01,H,3,25,25,valid,871,
