run_id,item_id,repeat
R001,B02,5
R002,B03,3
R003,E04,4
R004,E08,4
R005,B01,4
R006,E08,2
R007,E01,2
R008,E02,2
R009,B02,4
R010,E08,3
R011,E05,2
R012,B06,3
R013,B07,2
R014,B08,3
R015,B05,1
R016,E08,5
R017,B03,4
R018,B06,4
R019,B02,2
R020,B07,3
R021,B03,2
R022,B05,3
R023,B06,5
R024,B05,5
R025,E02,5
R026,B06,2
R027,E06,4
R028,E04,5
R029,E01,3
R030,E07,4
R031,B02,3
R032,E07,5
R033,E01,1
R034,E02,4
R035,E03,1
R036,B01,2
R037,E03,4
R038,E07,2
R039,E04,2
R040,B05,4
R041,E06,1
R042,B03,5
R043,B01,3
R044,E07,1
R045,E05,4
R046,B04,2
R047,E05,1
R048,B02,1
R049,E03,5
R050,B08,1
R051,E06,5
R052,B08,2
R053,B07,1
R054,B07,4
R055,E05,5
R056,E02,1
R057,E07,3
R058,B01,5
R059,E04,1
R060,E06,3
R061,E04,3
R062,E08,1
R063,E03,2
R064,B06,1
R065,B07,5
R066,B04,5
R067,B08,4
R068,E02,3
R069,E06,2
R070,B08,5
R071,B04,1
R072,E05,3
R073,E01,4
R074,B05,2
R075,B04,3
R076,E03,3
R077,B03,1
R078,E01,5
R079,B01,1
R080,B04,4
