run_id,item_id,condition,repeat
P2R001,E02,7S,3
P2R002,B06,H,1
P2R003,B04,G,1
P2R004,E03-v2,G,2
P2R005,B08,F,3
P2R006,B04,7S,3
P2R007,B06,G,1
P2R008,E08,7S,1
P2R009,B04,F,2
P2R010,B06,H,2
P2R011,E02,H,1
P2R012,B07,7S,2
P2R013,E05,7S,3
P2R014,B01,7S,2
P2R015,B02,H,2
P2R016,B08,S,2
P2R017,E02,7S,1
P2R018,E03-v2,7S,1
P2R019,E01,S,1
P2R020,B03,H,2
P2R021,B06,G,2
P2R022,B08,H,3
P2R023,E07-v2,S,3
P2R024,B07,S,3
P2R025,B08,F,2
P2R026,E01,F,1
P2R027,B01,7S,1
P2R028,E07-v2,F,3
P2R029,E05,F,1
P2R030,B03,G,3
P2R031,B05,F,3
P2R032,E05,H,1
P2R033,E02,S,1
P2R034,E01,F,2
P2R035,E08,7S,3
P2R036,B04,S,2
P2R037,B05,H,1
P2R038,B05,S,3
P2R039,E04,S,3
P2R040,B04,H,3
P2R041,B05,7S,3
P2R042,B06,7S,3
P2R043,B03,G,2
P2R044,E05,G,1
P2R045,B02,G,1
P2R046,B04,H,1
P2R047,E03-v2,S,2
P2R048,E08,F,1
P2R049,B07,F,2
P2R050,E03-v2,H,1
P2R051,B01,7S,3
P2R052,E04,H,1
P2R053,B04,G,3
P2R054,E06,7S,2
P2R055,E04,7S,3
P2R056,B06,S,2
P2R057,E07-v2,G,1
P2R058,E04,7S,2
P2R059,E08,F,2
P2R060,E07-v2,7S,3
P2R061,B05,G,3
P2R062,E08,7S,2
P2R063,E02,S,3
P2R064,E04,G,1
P2R065,E01,7S,1
P2R066,B03,S,1
P2R067,B03,S,3
P2R068,B02,F,3
P2R069,E02,H,3
P2R070,B03,F,2
P2R071,E08,F,3
P2R072,B02,S,1
P2R073,B07,G,2
P2R074,B04,7S,1
P2R075,B02,7S,3
P2R076,E05,F,2
P2R077,B08,F,1
P2R078,E06,F,2
P2R079,E02,F,2
P2R080,B01,S,2
P2R081,E05,G,3
P2R082,E04,S,1
P2R083,E08,G,2
P2R084,B06,F,2
P2R085,B03,H,1
P2R086,E06,G,1
P2R087,E03-v2,S,1
P2R088,B08,G,1
P2R089,B01,H,2
P2R090,B06,S,3
P2R091,E04,F,1
P2R092,E03-v2,H,3
P2R093,B07,7S,3
P2R094,E01,S,2
P2R095,E06,G,2
P2R096,B06,F,3
P2R097,B08,G,3
P2R098,E06,H,1
P2R099,E01,H,2
P2R100,B04,G,2
P2R101,E08,H,1
P2R102,E05,F,3
P2R103,E06,F,3
P2R104,E07-v2,S,1
P2R105,B02,7S,2
P2R106,E06,7S,1
P2R107,E07-v2,7S,2
P2R108,B07,G,3
P2R109,B06,G,3
P2R110,E07-v2,H,2
P2R111,B06,S,1
P2R112,B05,7S,2
P2R113,B02,F,1
P2R114,B01,F,1
P2R115,B07,S,2
P2R116,E01,F,3
P2R117,E07-v2,H,3
P2R118,B04,F,1
P2R119,E03-v2,F,2
P2R120,B07,H,2
P2R121,B07,F,1
P2R122,E08,S,3
P2R123,E05,S,1
P2R124,E03-v2,S,3
P2R125,E01,G,1
P2R126,E05,G,2
P2R127,B08,7S,3
P2R128,E07-v2,H,1
P2R129,E04,F,3
P2R130,B05,F,1
P2R131,E01,H,3
P2R132,E03-v2,F,1
P2R133,B08,G,2
P2R134,B07,G,1
P2R135,B05,F,2
P2R136,B05,H,2
P2R137,E04,H,3
P2R138,E03-v2,G,1
P2R139,B03,S,2
P2R140,E04,G,3
P2R141,B05,S,1
P2R142,E08,H,3
P2R143,E02,G,2
P2R144,E06,S,1
P2R145,E05,H,2
P2R146,E01,G,2
P2R147,E05,7S,2
P2R148,B06,7S,2
P2R149,B04,S,1
P2R150,E07-v2,G,2
P2R151,E02,7S,2
P2R152,E02,G,3
P2R153,E01,G,3
P2R154,B01,F,2
P2R155,E05,H,3
P2R156,B02,S,2
P2R157,B05,G,1
P2R158,B01,G,2
P2R159,B01,F,3
P2R160,B05,G,2
P2R161,E06,S,2
P2R162,B08,S,1
P2R163,B03,F,1
P2R164,B08,H,1
P2R165,E06,S,3
P2R166,B03,G,1
P2R167,E06,G,3
P2R168,B01,S,1
P2R169,E02,F,3
P2R170,E01,7S,3
P2R171,B07,F,3
P2R172,B04,7S,2
P2R173,E04,F,2
P2R174,B03,H,3
P2R175,E06,F,1
P2R176,B06,7S,1
P2R177,E07-v2,S,2
P2R178,B02,7S,1
P2R179,E08,S,2
P2R180,E03-v2,7S,3
P2R181,B01,H,1
P2R182,B01,S,3
P2R183,B07,7S,1
P2R184,B03,7S,2
P2R185,E06,7S,3
P2R186,B02,S,3
P2R187,E03-v2,G,3
P2R188,E05,S,2
P2R189,B02,F,2
P2R190,E05,7S,1
P2R191,E06,H,2
P2R192,B08,7S,2
P2R193,B06,F,1
P2R194,B08,H,2
P2R195,B03,7S,1
P2R196,E04,7S,1
P2R197,B07,H,1
P2R198,E04,H,2
P2R199,B03,F,3
P2R200,E07-v2,F,1
P2R201,E01,S,3
P2R202,E03-v2,H,2
P2R203,E08,G,1
P2R204,B05,7S,1
P2R205,B06,H,3
P2R206,B08,7S,1
P2R207,E03-v2,F,3
P2R208,B01,G,1
P2R209,B03,7S,3
P2R210,E07-v2,F,2
